unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,lat2,lon2
13780625,JJ187562,2025-03-19,118Xx S Avenue O,0860,Theft,Retail Theft,Drug Store,False,False,433,4,10,55,06,1200937.0,1827157.0,2025,2025-03-27,41.680481664,-87.540099953,41.680481664,-87.540099953
13787309,JJ195668,2025-03-19,003Xx N Austin Blvd,0820,Theft,$500 And Under,Apartment,False,False,1512,15,29,25,06,1136323.0,1901590.0,2025,2025-03-28,41.886128441,-87.774851819,41.886128441,-87.774851819
13780369,JJ187469,2025-03-19,036Xx S Archer Ave,0460,Battery,Simple,Grocery Food Store,True,False,912,9,12,59,08B,1161614.0,1880357.0,2025,2025-03-27,41.827373751,-87.682568055,41.827373751,-87.682568055
13780409,JJ187667,2025-03-19,060Xx N Hermitage Ave,2826,Other Offense,Harassment By Electronic Means,Residence,False,False,2433,24,40,77,26,1163667.0,1940407.0,2025,2025-03-27,41.992112213,-87.673340649,41.992112213,-87.673340649
13780383,JJ187507,2025-03-19,037Xx W Division St,143A,Weapons Violation,Unlawful Possession - Handgun,Street,True,False,2535,25,36,23,15,1151311.0,1907742.0,2025,2025-04-02,41.902729294,-87.71965036,41.902729294,-87.71965036
13780393,JJ187522,2025-03-19,011Xx N La Salle Dr,1330,Criminal Trespass,To Land,Commercial / Business Office,False,False,1824,18,27,8,26,1174934.0,1907834.0,2025,2025-03-27,41.902485238,-87.632876591,41.902485238,-87.632876591
13780332,JJ187569,2025-03-19,012Xx S Canal St,0810,Theft,Over $500,Restaurant,False,False,124,1,28,28,06,1173314.0,1894678.0,2025,2025-03-27,41.866420504,-87.639217924,41.866420504,-87.639217924
13780994,JJ188267,2025-03-19,023Xx N Lawndale Ave,1320,Criminal Damage,To Vehicle,Street,False,True,2525,25,35,22,14,1151326.0,1915216.0,2025,2025-03-27,41.923238345,-87.719398749,41.923238345,-87.719398749
13780379,JJ187651,2025-03-19,0Xx E 59Th St,0460,Battery,Simple,Sidewalk,False,False,232,2,20,40,08B,1177522.0,1865908.0,2025,2025-03-27,41.787378897,-87.624641355,41.787378897,-87.624641355
13780436,JJ187506,2025-03-19,046Xx W Diversey Ave,0860,Theft,Retail Theft,Department Store,False,False,2521,25,31,20,06,1144944.0,1918212.0,2025,2025-03-27,41.931582647,-87.742772889,41.931582647,-87.742772889
13781206,JJ188309,2025-03-19,006Xx E 85Th St,0560,Assault,Simple,School - Public Building,False,False,632,6,6,44,08A,1182041.0,1848770.0,2025,2025-03-27,41.740247076,-87.608601727,41.740247076,-87.608601727
13781285,JJ187601,2025-03-19,041Xx W Washington Blvd,0460,Battery,Simple,Street,False,True,1114,11,28,26,08B,1148833.0,1900172.0,2025,2025-03-27,41.882004688,-87.728948432,41.882004688,-87.728948432
